04/30/1927_24:00	9999	9999	9999	0	0	0
05/31/1927_24:00	9999	9999	9999	0	0	0
06/30/1927_24:00	9999	9999	9999	0	0	0
07/31/1927_24:00	9999	9999	9999	0	0	0
08/31/1927_24:00	9999	9999	9999	0	0	0
09/30/1927_24:00	9999	9999	9999	0	0	0
10/31/1927_24:00	9999	9999	9999	0	0	0
11/30/1927_24:00	9999	9999	9999	0	0	0
12/31/1927_24:00	9999	9999	9999	0	0	0
01/31/1928_24:00	9999	9999	9999	0	0	0
02/29/1928_24:00	9999	9999	9999	0	0	0
03/31/1928_24:00	9999	9999	9999	0	0	0
04/30/1928_24:00	9999	9999	9999	0	0	0
05/31/1928_24:00	9999	9999	9999	0	0	0
06/30/1928_24:00	9999	9999	9999	0	0	0
07/31/1928_24:00	9999	9999	9999	0	0	0
08/31/1928_24:00	9999	9999	9999	0	0	0
09/30/1928_24:00	9999	9999	9999	0	0	0
10/31/1928_24:00	9999	9999	9999	0	0	0
11/30/1928_24:00	9999	9999	9999	0	0	0
12/31/1928_24:00	9999	9999	9999	0	0	0
01/31/1929_24:00	9999	9999	9999	0	0	0
02/28/1929_24:00	9999	9999	9999	0	0	0
03/31/1929_24:00	9999	9999	9999	0	0	0
04/30/1929_24:00	9999	9999	9999	0	0	0
05/31/1929_24:00	9999	9999	9999	0	0	0
06/30/1929_24:00	9999	9999	9999	0	0	0
07/31/1929_24:00	9999	9999	9999	0	0	0
08/31/1929_24:00	9999	9999	9999	0	0	0
09/30/1929_24:00	9999	9999	9999	0	0	0
10/31/1929_24:00	9999	9999	9999	0	0	0
11/30/1929_24:00	9999	9999	9999	0	0	0
12/31/1929_24:00	9999	9999	9999	0	0	0
01/31/1930_24:00	9999	9999	9999	0	0	0
02/28/1930_24:00	9999	9999	9999	0	0	0
03/31/1930_24:00	9999	9999	9999	0	0	0
04/30/1930_24:00	9999	9999	9999	0	0	0
05/31/1930_24:00	9999	9999	9999	0	0	0
06/30/1930_24:00	9999	9999	9999	0	0	0
07/31/1930_24:00	9999	9999	9999	0	0	0
08/31/1930_24:00	9999	9999	9999	0	0	0
09/30/1930_24:00	9999	9999	9999	0	0	0
10/31/1930_24:00	9999	9999	9999	0	0	0
11/30/1930_24:00	9999	9999	9999	0	0	0
12/31/1930_24:00	9999	9999	9999	0	0	0
01/31/1931_24:00	9999	9999	9999	0	0	0
02/28/1931_24:00	9999	9999	9999	0	0	0
03/31/1931_24:00	9999	9999	9999	0	0	0
04/30/1931_24:00	9999	9999	9999	0	0	0
05/31/1931_24:00	9999	9999	9999	0	0	0
06/30/1931_24:00	9999	9999	9999	0	0	0
07/31/1931_24:00	9999	9999	9999	0	0	0
08/31/1931_24:00	9999	9999	9999	0	0	0
09/30/1931_24:00	9999	9999	9999	0	0	0
10/31/1931_24:00	9999	9999	9999	0	0	0
11/30/1931_24:00	9999	9999	9999	0	0	0
12/31/1931_24:00	9999	9999	9999	0	0	0
01/31/1932_24:00	9999	9999	9999	0	0	0
02/29/1932_24:00	9999	9999	9999	0	0	0
03/31/1932_24:00	9999	9999	9999	0	0	0
04/30/1932_24:00	9999	9999	9999	0	0	0
05/31/1932_24:00	9999	9999	9999	0	0	0
06/30/1932_24:00	9999	9999	9999	0	0	0
07/31/1932_24:00	9999	9999	9999	0	0	0
08/31/1932_24:00	9999	9999	9999	0	0	0
09/30/1932_24:00	9999	9999	9999	0	0	0
10/31/1932_24:00	9999	9999	9999	0	0	0
11/30/1932_24:00	9999	9999	9999	0	0	0
12/31/1932_24:00	9999	9999	9999	0	0	0
01/31/1933_24:00	9999	9999	9999	0	0	0
02/28/1933_24:00	9999	9999	9999	0	0	0
03/31/1933_24:00	9999	9999	9999	0	0	0
04/30/1933_24:00	9999	9999	9999	0	0	0
05/31/1933_24:00	9999	9999	9999	0	0	0
06/30/1933_24:00	9999	9999	9999	0	0	0
07/31/1933_24:00	9999	9999	9999	0	0	0
08/31/1933_24:00	9999	9999	9999	0	0	0
09/30/1933_24:00	9999	9999	9999	0	0	0
10/31/1933_24:00	9999	9999	9999	0	0	0
11/30/1933_24:00	9999	9999	9999	0	0	0
12/31/1933_24:00	9999	9999	9999	0	0	0
01/31/1934_24:00	9999	9999	9999	0	0	0
02/28/1934_24:00	9999	9999	9999	0	0	0
03/31/1934_24:00	9999	9999	9999	0	0	0
04/30/1934_24:00	9999	9999	9999	0	0	0
05/31/1934_24:00	9999	9999	9999	0	0	0
06/30/1934_24:00	9999	9999	9999	0	0	0
07/31/1934_24:00	9999	9999	9999	0	0	0
08/31/1934_24:00	9999	9999	9999	0	0	0
09/30/1934_24:00	9999	9999	9999	0	0	0
10/31/1934_24:00	9999	9999	9999	0	0	0
11/30/1934_24:00	9999	9999	9999	0	0	0
12/31/1934_24:00	9999	9999	9999	0	0	0
01/31/1935_24:00	9999	9999	9999	0	0	0
02/28/1935_24:00	9999	9999	9999	0	0	0
03/31/1935_24:00	9999	9999	9999	0	0	0
04/30/1935_24:00	9999	9999	9999	0	0	0
05/31/1935_24:00	9999	9999	9999	0	0	0
06/30/1935_24:00	9999	9999	9999	0	0	0
07/31/1935_24:00	9999	9999	9999	0	0	0
08/31/1935_24:00	9999	9999	9999	0	0	0
09/30/1935_24:00	9999	9999	9999	0	0	0
10/31/1935_24:00	9999	9999	9999	0	0	0
11/30/1935_24:00	9999	9999	9999	0	0	0
12/31/1935_24:00	9999	9999	9999	0	0	0
01/31/1936_24:00	9999	9999	9999	0	0	0
02/29/1936_24:00	9999	9999	9999	0	0	0
03/31/1936_24:00	9999	9999	9999	0	0	0
04/30/1936_24:00	9999	9999	9999	0	0	0
05/31/1936_24:00	9999	9999	9999	0	0	0
06/30/1936_24:00	9999	9999	9999	0	0	0
07/31/1936_24:00	9999	9999	9999	0	0	0
08/31/1936_24:00	9999	9999	9999	0	0	0
09/30/1936_24:00	9999	9999	9999	0	0	0
10/31/1936_24:00	9999	9999	9999	0	0	0
11/30/1936_24:00	9999	9999	9999	0	0	0
12/31/1936_24:00	9999	9999	9999	0	0	0
01/31/1937_24:00	9999	9999	9999	0	0	0
02/28/1937_24:00	9999	9999	9999	0	0	0
03/31/1937_24:00	9999	9999	9999	0	0	0
04/30/1937_24:00	9999	9999	9999	0	0	0
05/31/1937_24:00	9999	9999	9999	0	0	0
06/30/1937_24:00	9999	9999	9999	0	0	0
07/31/1937_24:00	9999	9999	9999	0	0	0
08/31/1937_24:00	9999	9999	9999	0	0	0
09/30/1937_24:00	9999	9999	9999	0	0	0
10/31/1937_24:00	9999	9999	9999	0	0	0
11/30/1937_24:00	9999	9999	9999	0	0	0
12/31/1937_24:00	9999	9999	9999	0	0	0
01/31/1938_24:00	9999	9999	9999	0	0	0
02/28/1938_24:00	9999	9999	9999	0	0	0
03/31/1938_24:00	9999	9999	9999	0	0	0
04/30/1938_24:00	9999	9999	9999	0	0	0
05/31/1938_24:00	9999	9999	9999	0	0	0
06/30/1938_24:00	9999	9999	9999	0	0	0
07/31/1938_24:00	9999	9999	9999	0	0	0
08/31/1938_24:00	9999	9999	9999	0	0	0
09/30/1938_24:00	9999	9999	9999	0	0	0
10/31/1938_24:00	9999	9999	9999	0	0	0
11/30/1938_24:00	9999	9999	9999	0	0	0
12/31/1938_24:00	9999	9999	9999	0	0	0
01/31/1939_24:00	9999	9999	9999	0	0	0
02/28/1939_24:00	9999	9999	9999	0	0	0
03/31/1939_24:00	9999	9999	9999	0	0	0
04/30/1939_24:00	9999	9999	9999	0	0	0
05/31/1939_24:00	9999	9999	9999	0	0	0
06/30/1939_24:00	9999	9999	9999	0	0	0
07/31/1939_24:00	9999	9999	9999	0	0	0
08/31/1939_24:00	9999	9999	9999	0	0	0
09/30/1939_24:00	9999	9999	9999	0	0	0
10/31/1939_24:00	9999	9999	9999	0	0	0
11/30/1939_24:00	9999	9999	9999	0	0	0
12/31/1939_24:00	9999	9999	9999	0	0	0
01/31/1940_24:00	9999	9999	9999	0	0	0
02/29/1940_24:00	9999	9999	9999	0	0	0
03/31/1940_24:00	9999	9999	9999	0	0	0
04/30/1940_24:00	9999	9999	9999	0	0	0
05/31/1940_24:00	9999	9999	9999	0	0	0
06/30/1940_24:00	9999	9999	9999	0	0	0
07/31/1940_24:00	9999	9999	9999	0	0	0
08/31/1940_24:00	9999	9999	9999	0	0	0
09/30/1940_24:00	9999	9999	9999	0	0	0
10/31/1940_24:00	9999	9999	9999	0	0	0
11/30/1940_24:00	9999	9999	9999	0	0	0
12/31/1940_24:00	9999	9999	9999	0	0	0
01/31/1941_24:00	9999	9999	9999	0	0	0
02/28/1941_24:00	9999	9999	9999	0	0	0
03/31/1941_24:00	9999	9999	9999	0	0	0
04/30/1941_24:00	9999	9999	9999	0	0	0
05/31/1941_24:00	9999	9999	9999	0	0	0
06/30/1941_24:00	9999	9999	9999	0	0	0
07/31/1941_24:00	9999	9999	9999	0	0	0
08/31/1941_24:00	9999	9999	9999	0	0	0
09/30/1941_24:00	9999	9999	9999	0	0	0
10/31/1941_24:00	9999	9999	9999	0	0	0
11/30/1941_24:00	9999	9999	9999	0	0	0
12/31/1941_24:00	9999	9999	9999	0	0	0
01/31/1942_24:00	9999	9999	9999	0	0	0
02/28/1942_24:00	9999	9999	9999	0	0	0
03/31/1942_24:00	9999	9999	9999	0	0	0
04/30/1942_24:00	9999	9999	9999	0	0	0
05/31/1942_24:00	9999	9999	9999	0	0	0
06/30/1942_24:00	9999	9999	9999	0	0	0
07/31/1942_24:00	9999	9999	9999	0	0	0
08/31/1942_24:00	9999	9999	9999	0	0	0
