C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C                         *** Version 2015 ***
C
C*******************************************************************************
C
C                        ZONE DEFINITION INPUT FILE
C                     for IWFM Z-Budget Post-Processing
C
C
C             Project:  IWFM Version 2015 Release
C                       California Department of Water Resources
C                       June, 2017
C             Filename: ZoneDef_SRs.dat
C
C*******************************************************************************
C
C                            File Description
C
C    This file contains zone definitions to be used with the Z-Budget post-processor.
C    
C*******************************************************************************                     
C                            Zone Information
C
C    The following lists the zone numbers that the elements of the finite element 
C    mesh belong to.  Element number, layer number (this information is
C    optional depending on the value of ZEXTENT above) and the zone number that 
C    the element belongs to are required information. It is not necessary to list
C    all elements at all layers and assign a zone number to each of them.
C    By default, each element is given a zone number of -99.  Therefore, any elements  
C    that are not listed below will constitute zone -99.
C    
C    ** Note: If variable ZEXTENT below is set to 1, do not specify LAYER below. If 
C             ZEXTENT is set to 0, it is required that LAYER for each element below 
C             is specified.
C
C    ZEXTENT ; Extent of the the zone numbering
C                1 = Zone numbering is defined for horizontal plane and will be 
C                     used for all layers
C                0 = Different zone numbering is specified for each layer
C    ZID     ; Zone number for which a name is defined
C    ZNAME   ; Name of each zone (maximum 50 characters)
C    IE      ; Element number
C    LAYER   ; Layer number at which element is located 
C                *Leave blank if ZEXTENT = 1 
C    ZONE    ; Zone number 
C 
C-------------------------------------------------------------------------------
C    VALUE                     DESCRIPTION                                    
C-------------------------------------------------------------------------------
     1                         / ZEXTENT
C-------------------------------------------------------------------------------
C    	ZID          ZNAME (DAUCo)                                                 
C-------------------------------------------------------------------------------
	83		9	/DAUCo: 14252
	84		11	/DAUCo: 14452
	85		11	/DAUCo: 14452
	86		9	/DAUCo: 14252
	87		9	/DAUCo: 14252
	88		9	/DAUCo: 14252
	89		9	/DAUCo: 14252
	90		9	/DAUCo: 14252
	91		11	/DAUCo: 14452
	92		11	/DAUCo: 14452
	93		9	/DAUCo: 14252
	94		9	/DAUCo: 14252
	95		9	/DAUCo: 14252
	96		9	/DAUCo: 14252
	97		11	/DAUCo: 14452
	98		11	/DAUCo: 14452
	99		9	/DAUCo: 14252
	100		9	/DAUCo: 14252
	101		9	/DAUCo: 14252
	102		9	/DAUCo: 14252
	103		9	/DAUCo: 14252
	104		12	/DAUCo: 14404
	105		11	/DAUCo: 14452
	106		9	/DAUCo: 14252
	107		9	/DAUCo: 14252
	108		9	/DAUCo: 14252
	109		9	/DAUCo: 14252
	110		13	/DAUCo: 14211
	111		13	/DAUCo: 14211
	112		13	/DAUCo: 14211
	113		12	/DAUCo: 14404
	114		12	/DAUCo: 14404
	115		12	/DAUCo: 14404
	116		12	/DAUCo: 14404
	117		12	/DAUCo: 14404
	118		12	/DAUCo: 14404
	119		12	/DAUCo: 14404
	120		12	/DAUCo: 14404
	121		14	/DAUCo: 13911
	122		15	/DAUCo: 13952
	123		13	/DAUCo: 14211
	124		16	/DAUCo: 16311
	125		13	/DAUCo: 14211
	126		13	/DAUCo: 14211
	127		13	/DAUCo: 14211
	128		17	/DAUCo: 16411
	129		13	/DAUCo: 14211
	130		18	/DAUCo: 16704
	131		19	/DAUCo: 16604
	132		19	/DAUCo: 16604
	133		18	/DAUCo: 16704
	134		19	/DAUCo: 16604
	135		19	/DAUCo: 16604
	136		19	/DAUCo: 16604
	137		14	/DAUCo: 13911
	138		14	/DAUCo: 13911
	139		16	/DAUCo: 16311
	140		16	/DAUCo: 16311
	141		16	/DAUCo: 16311
	142		16	/DAUCo: 16311
	143		16	/DAUCo: 16311
	144		16	/DAUCo: 16311
	145		17	/DAUCo: 16411
	146		18	/DAUCo: 16704
	147		19	/DAUCo: 16604
	148		19	/DAUCo: 16604
	149		19	/DAUCo: 16604
	150		19	/DAUCo: 16604
	151		19	/DAUCo: 16604
	152		19	/DAUCo: 16604
	153		19	/DAUCo: 16604
	154		20	/DAUCo: 16804
	155		21	/DAUCo: 17004
	156		16	/DAUCo: 16311
	157		16	/DAUCo: 16311
	158		16	/DAUCo: 16311
	159		18	/DAUCo: 16704
	160		19	/DAUCo: 16604
	161		19	/DAUCo: 16604
	162		19	/DAUCo: 16604
	163		20	/DAUCo: 16804
	164		20	/DAUCo: 16804
	165		21	/DAUCo: 17004
	166		16	/DAUCo: 16311
	167		16	/DAUCo: 16311
	168		16	/DAUCo: 16311
	169		16	/DAUCo: 16311
	170		16	/DAUCo: 16311
	171		16	/DAUCo: 16311
	172		16	/DAUCo: 16311
	173		22	/DAUCo: 16711
	174		23	/DAUCo: 16611
	175		20	/DAUCo: 16804
	176		20	/DAUCo: 16804
	177		20	/DAUCo: 16804
	178		20	/DAUCo: 16804
	179		21	/DAUCo: 17004
	180		16	/DAUCo: 16311
	181		16	/DAUCo: 16311
	182		16	/DAUCo: 16311
	183		16	/DAUCo: 16311
	184		16	/DAUCo: 16311
	185		16	/DAUCo: 16311
	186		16	/DAUCo: 16311
	187		16	/DAUCo: 16311
	188		22	/DAUCo: 16711
	189		22	/DAUCo: 16711
	190		23	/DAUCo: 16611
	191		20	/DAUCo: 16804
	192		20	/DAUCo: 16804
	193		20	/DAUCo: 16804
	194		20	/DAUCo: 16804
	195		21	/DAUCo: 17004
	196		21	/DAUCo: 17004
	197		16	/DAUCo: 16311
	198		16	/DAUCo: 16311
	199		16	/DAUCo: 16311
	200		16	/DAUCo: 16311
	201		16	/DAUCo: 16311
	202		24	/DAUCo: 16306
	203		24	/DAUCo: 16306
	204		24	/DAUCo: 16306
	205		24	/DAUCo: 16306
	206		24	/DAUCo: 16306
	207		22	/DAUCo: 16711
	208		22	/DAUCo: 16711
	209		19	/DAUCo: 16604
	210		20	/DAUCo: 16804
	211		20	/DAUCo: 16804
	212		19	/DAUCo: 16604
	213		20	/DAUCo: 16804
	214		20	/DAUCo: 16804
	215		20	/DAUCo: 16804
	216		25	/DAUCo: 17158
	217		24	/DAUCo: 16306
	218		24	/DAUCo: 16306
	219		24	/DAUCo: 16306
	220		24	/DAUCo: 16306
	221		24	/DAUCo: 16306
	222		24	/DAUCo: 16306
	223		24	/DAUCo: 16306
	224		26	/DAUCo: 16406
	225		27	/DAUCo: 16706
	226		27	/DAUCo: 16706
	227		19	/DAUCo: 16604
	228		28	/DAUCo: 16851
	229		28	/DAUCo: 16851
	230		28	/DAUCo: 16851
	231		25	/DAUCo: 17158
	232		25	/DAUCo: 17158
	233		24	/DAUCo: 16306
	234		24	/DAUCo: 16306
	235		24	/DAUCo: 16306
	236		24	/DAUCo: 16306
	237		26	/DAUCo: 16406
	238		27	/DAUCo: 16706
	239		27	/DAUCo: 16706
	240		1	/DAUCo: 16651
	241		24	/DAUCo: 16306
	242		24	/DAUCo: 16306
	243		24	/DAUCo: 16306
	244		24	/DAUCo: 16306
	245		26	/DAUCo: 16406
	246		27	/DAUCo: 16706
	247		27	/DAUCo: 16706
	248		1	/DAUCo: 16651
	249		28	/DAUCo: 16851
	250		28	/DAUCo: 16851
	251		25	/DAUCo: 17158
	252		25	/DAUCo: 17158
	253		24	/DAUCo: 16306
	254		24	/DAUCo: 16306
	255		24	/DAUCo: 16306
	256		24	/DAUCo: 16306
	257		24	/DAUCo: 16306
	258		26	/DAUCo: 16406
	259		26	/DAUCo: 16406
	260		29	/DAUCo: 16551
	261		24	/DAUCo: 16306
	262		24	/DAUCo: 16306
	263		24	/DAUCo: 16306
	264		24	/DAUCo: 16306
	265		26	/DAUCo: 16406
	266		26	/DAUCo: 16406
	267		29	/DAUCo: 16551
	268		1	/DAUCo: 16651
	269		29	/DAUCo: 16551
	270		29	/DAUCo: 16551
	271		28	/DAUCo: 16851
	272		28	/DAUCo: 16851
	273		24	/DAUCo: 16306
	274		24	/DAUCo: 16306
	275		24	/DAUCo: 16306
	276		26	/DAUCo: 16406
	277		26	/DAUCo: 16406
	278		29	/DAUCo: 16551
	279		29	/DAUCo: 16551
	280		28	/DAUCo: 16851
	281		28	/DAUCo: 16851
	282		25	/DAUCo: 17158
	283		25	/DAUCo: 17158
	284		24	/DAUCo: 16306
	285		24	/DAUCo: 16306
	286		24	/DAUCo: 16306
	287		24	/DAUCo: 16306
	288		24	/DAUCo: 16306
	289		26	/DAUCo: 16406
	290		26	/DAUCo: 16406
	291		29	/DAUCo: 16551
	292		29	/DAUCo: 16551
	293		28	/DAUCo: 16851
	294		28	/DAUCo: 16851
	295		25	/DAUCo: 17158
	296		25	/DAUCo: 17158
	297		25	/DAUCo: 17158
	298		30	/DAUCo: 16357
	299		30	/DAUCo: 16357
	300		30	/DAUCo: 16357
	301		31	/DAUCo: 16457
	302		29	/DAUCo: 16551
	303		29	/DAUCo: 16551
	304		28	/DAUCo: 16851
	305		28	/DAUCo: 16851
	306		25	/DAUCo: 17158
	307		25	/DAUCo: 17158
	308		25	/DAUCo: 17158
	309		30	/DAUCo: 16357
	310		30	/DAUCo: 16357
	311		30	/DAUCo: 16357
	312		30	/DAUCo: 16357
	313		31	/DAUCo: 16457
	314		31	/DAUCo: 16457
	315		29	/DAUCo: 16551
	316		29	/DAUCo: 16551
	317		28	/DAUCo: 16851
	318		25	/DAUCo: 17158
	319		25	/DAUCo: 17158
	320		25	/DAUCo: 17158
	321		25	/DAUCo: 17158
	322		32	/DAUCo: 16257
	323		32	/DAUCo: 16257
	324		30	/DAUCo: 16357
	325		30	/DAUCo: 16357
	326		30	/DAUCo: 16357
	327		31	/DAUCo: 16457
	328		29	/DAUCo: 16551
	329		29	/DAUCo: 16551
	330		33	/DAUCo: 17251
	331		33	/DAUCo: 17251
	332		33	/DAUCo: 17251
	333		33	/DAUCo: 17251
	334		34	/DAUCo: 17231
	335		34	/DAUCo: 17231
	336		32	/DAUCo: 16257
	337		32	/DAUCo: 16257
	338		30	/DAUCo: 16357
	339		30	/DAUCo: 16357
	340		29	/DAUCo: 16551
	341		33	/DAUCo: 17251
	342		33	/DAUCo: 17251
	343		33	/DAUCo: 17251
	344		33	/DAUCo: 17251
	345		34	/DAUCo: 17231
	346		34	/DAUCo: 17231
	347		34	/DAUCo: 17231
	348		32	/DAUCo: 16257
	349		32	/DAUCo: 16257
	350		32	/DAUCo: 16257
	351		32	/DAUCo: 16257
	352		32	/DAUCo: 16257
	353		33	/DAUCo: 17251
	354		32	/DAUCo: 16257
	355		32	/DAUCo: 16257
	356		32	/DAUCo: 16257
	357		32	/DAUCo: 16257
	358		32	/DAUCo: 16257
	359		32	/DAUCo: 16257
	360		35	/DAUCo: 17234
	361		33	/DAUCo: 17251
	362		33	/DAUCo: 17251
	363		33	/DAUCo: 17251
	364		33	/DAUCo: 17251
	365		34	/DAUCo: 17231
	366		34	/DAUCo: 17231
	367		34	/DAUCo: 17231
	368		34	/DAUCo: 17231
	369		34	/DAUCo: 17231
	370		34	/DAUCo: 17231
	371		34	/DAUCo: 17231
	372		34	/DAUCo: 17231
	373		34	/DAUCo: 17231
	374		34	/DAUCo: 17231
	375		35	/DAUCo: 17234
	376		35	/DAUCo: 17234
	377		33	/DAUCo: 17251
	378		35	/DAUCo: 17234
	379		35	/DAUCo: 17234
	380		35	/DAUCo: 17234
	381		35	/DAUCo: 17234
	382		35	/DAUCo: 17234
	383		34	/DAUCo: 17231
	384		35	/DAUCo: 17234
	385		35	/DAUCo: 17234
	386		35	/DAUCo: 17234
	387		35	/DAUCo: 17234
	388		35	/DAUCo: 17234
	389		35	/DAUCo: 17234
	390		35	/DAUCo: 17234
	391		35	/DAUCo: 17234
	392		35	/DAUCo: 17234
	393		35	/DAUCo: 17234
	394		36	/DAUCo: 17334
	395		36	/DAUCo: 17334
	396		36	/DAUCo: 17334
	397		36	/DAUCo: 17334
	398		36	/DAUCo: 17334
	399		36	/DAUCo: 17334
	400		37	/DAUCo: 18034
	401		37	/DAUCo: 18034
